Nom;Adresse;TÈlÈphone;Site web;Zone;Trouble cognitif lÈger;Trouble cognitif sÈvËre;Bilanter;Orienter - Domicile;Orienter - Structures;Troubles du comportement|3;Pas díaidant, Èpuisement de líaidant|3;Maltraitance|3;Perte d'autonomie|2;Chute|2;DÈficit sensoriel gÈnants|1;Logement inadaptÈ|1;Faibles ressources Èconomiques|1;Isolement familial et gÈographique|1
CSG Centre Hospitalier Ambert ;14 avenue georges clÈmenceau 63600 Ambert;04 73 82 73 82;www.ch-ambert.fr;Ambert;0;1;1;0;0;1;1;1;1;1;1;1;0;1
CSG Centre Hospitalier Ambert ;14 avenue georges clÈmenceau 63600 Ambert;04 73 82 73 82;www.ch-ambert.fr;Ambert;0;1;1;0;0;1;1;1;1;1;1;1;0;1
CSG Centre Hospitalier Ambert ;14 avenue georges clÈmenceau 63600 Ambert;04 73 82 73 82;www.ch-ambert.fr;Ambert;0;1;0;0;1;0;0;1;1;1;0;0;0;0
CSG Centre Hospitalier Ambert ;14 avenue georges clÈmenceau 63600 Ambert;04 73 82 73 82;www.ch-ambert.fr;Ambert;0;1;0;0;1;0;0;1;1;1;0;0;0;0
EHPAD Ambert  Centre Hospitalier Pre-Bayle (USA);rue Anna Roddier 63600 Ambert;04 73 82 73 82;;Ambert;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Ambert  Centre Hospitalier Pre-Bayle (USA);rue Anna Roddier 63600 Ambert;04 73 82 73 82;;Ambert;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Ambert Vimal Chabrier (PASA);17 av du MarÈchal Foch 63600 Ambert;04 73 82 71 84;;Ambert;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Ambert Vimal Chabrier (PASA);17 av du MarÈchal Foch 63600 Ambert;04 73 82 71 84;;Ambert;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Arlanc Maison de retraite d'Arlanc;13 place de l'Ouche 63220 Arlanc;04 73 95 88 88;;Ambert;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Arlanc Maison de retraite d'Arlanc;13 place de l'Ouche 63220 Arlanc;04 73 95 88 88;;Ambert;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Cunlhat Milles sourires (PASA);4 Quartier Lamothe, 63590 Cunlhat;04 73 72 70 00;www.ehpadmillesourires.fr;Ambert;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Cunlhat Milles sourires (PASA);4 Quartier Lamothe, 63590 Cunlhat;04 73 72 70 00;www.ehpadmillesourires.fr;Ambert;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Jobe Les Versannes (USA);AÈrium, 63990 Job;04 73 82 78 30;;Ambert;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Jobe Les Versannes (USA);AÈrium, 63990 Job;04 73 82 78 30;;Ambert;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Olliergues Maison de retraite du Pays d'Olliergues;Avenue Mar de Lattre de Tassigny, 63880 Olliergues;04 73 95 58 82;;Ambert;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Olliergues Maison de retraite du Pays d'Olliergues;Avenue Mar de Lattre de Tassigny, 63880 Olliergues;04 73 95 58 82;;Ambert;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Saint Amand Roche Savine;1 Rue Gaspard des Montagnes, 63890 Saint-Amant-Roche-Savine;04 73 72 68 35;;Ambert;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Saint Amand Roche Savine;1 Rue Gaspard des Montagnes, 63890 Saint-Amant-Roche-Savine;04 73 72 68 35;;Ambert;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Saint Antheme Le Gonfalon;Route de Saint-ClÈment, 63660 Saint-Anthème;04 73 95 83 46;;Ambert;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Saint Antheme Le Gonfalon;Route de Saint-ClÈment, 63660 Saint-Anthème;04 73 95 83 46;;Ambert;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Saint Germain Lherm Roux de Berny;Place De La Rodade, 63630 Saint-Germain-l'Herm;04 73 72 00 26;;Ambert;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Saint Germain Lherm Roux de Berny;Place De La Rodade, 63630 Saint-Germain-l'Herm;04 73 72 00 26;;Ambert;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Viverols Pierre Herbecq;Le Chambon, 63840 Viverols;04 73 95 39 39;;Ambert;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Viverols Pierre Herbecq;Le Chambon, 63840 Viverols;04 73 95 39 39;;Ambert;0;1;0;0;1;1;1;1;1;1;1;1;1;1
Equipe mobile de gÈriatrie  Ambert;14 avenue georges clÈmenceau 63600 Ambert;04 73 82 73 93;www.ch-ambert.fr;Ambert;1;1;1;0;0;1;0;1;1;0;0;0;0;1
Equipe mobile de gÈriatrie  Ambert;14 avenue georges clÈmenceau 63600 Ambert;04 73 82 73 93;www.ch-ambert.fr;Ambert;1;1;0;1;0;0;0;1;0;0;0;0;0;0
ergothÈrapeuthe Ambert;;;www.pagesjaunes.fr/annuaire/ambert-63/ergotherapeuthe;Ambert;1;1;1;0;0;0;0;0;0;1;0;1;0;0
ergothÈrapeuthe Ambert;;;www.pagesjaunes.fr/annuaire/ambert-63/ergotherapeuthe;Ambert;1;1;0;1;0;0;0;0;1;1;1;1;0;0
ESA Ambert;3 avenue du 11 novembre, 63600 Ambert;04 73 82 19 69;;Ambert;1;0;0;1;0;0;1;0;1;0;0;0;0;1
hÈbergement autonomie Ambert: RÈsidence Fontaine de Goye;13 boulevard de l'Europe 63600 AMBERT;04 73 82 27 63;;Ambert;1;0;0;0;1;1;1;0;1;0;1;1;0;1
hÈbergement autonomie Arlanc : Saint Josseph ;40 route nationnale 63220 ARLANC;04 73 95 18 00;;Ambert;1;0;0;0;1;1;1;0;1;0;1;1;0;1
hÈbergement autonomie Saint antheme: les Tilleuls ;route de saint ClÈment, 63660 Saint AnthËmes;04 73 95 48 65;;Ambert;1;0;0;0;1;1;1;0;1;0;1;1;0;1
hÈbergement temporaire Arlanc : Saint Josseph ;13 place de l'Ouche 63220 Arlanc;04 73 95 88 88;;Ambert;0;1;0;0;1;0;1;0;0;0;0;1;0;0
hÈbergement temporaire Arlanc : Saint Josseph ;13 place de l'Ouche 63220 Arlanc;04 73 95 88 88;;Ambert;1;0;0;0;1;0;1;0;1;0;1;1;0;0
hÈbergement temporaire Saint germain l'herme Maison de retraite roux de Berny ;place De La Rodade, 63630 Saint-Germain-l'Herm;04 73 72 00 26;;Ambert;0;1;0;0;1;0;1;0;0;0;0;1;0;0
hÈbergement temporaire Saint germain l'herme Maison de retraite roux de Berny ;place De La Rodade, 63630 Saint-Germain-l'Herm;04 73 72 00 26;;Ambert;1;0;0;0;1;0;1;0;1;0;1;1;0;0
IDE Ambert ;;;www.pagesjaunes.fr/annuaire/ambert-63/infirmiers-cabinets-soins-a-domicile;Ambert;1;1;0;1;0;0;0;0;1;1;1;0;0;0
KinÈsithÈrapeute Ambert;;;www.pagesjaunes.fr/annuaire/ambert-63/kinesitherapeuthe;Ambert;1;1;0;1;0;0;0;0;1;1;0;0;0;0
KinÈsithÈrapeute Ambert;;;www.pagesjaunes.fr/annuaire/ambert-63/kinesitherapeuthe;Ambert;1;1;1;0;0;0;0;0;0;1;0;0;0;0
MAIA Ambert;16 avenue Georges Cl_menceau 63600 Ambert;04 73 82 96 67;https://www.cliclivradoisforez.org/espace-professionnels/;Ambert;1;0;0;1;0;0;1;1;1;0;0;1;1;1
MAIA Ambert;16 avenue Georges Cl_menceau 63600 Ambert;04 73 82 96 67;https://www.cliclivradoisforez.org/espace-professionnels/;Ambert;0;1;0;1;0;0;1;1;1;1;1;1;1;1
Ophtalmologues Ambert;;;;Ambert;1;0;1;0;0;0;0;0;0;0;1;0;0;0
Opticien Ambert;;;www.pagesjaunes.fr/annuaire/ambert-63/opticiens;Ambert;1;0;0;1;0;0;0;0;0;0;1;0;0;0
Opticien mobile;;06 02 05 87 92;www.auvergneopticmobile.fr;Ambert;1;0;0;1;0;0;0;0;0;0;1;0;0;0
ORL Ambert;;;https://www.pagesjaunes.fr/annuaire/clermont-ferrand-63/medecins-orl;Ambert;1;0;1;0;0;0;0;0;0;0;1;0;0;0
Podologues Ambert;;;www.pagesjaunes.fr/annuaire/ambert-63/podologues-pedicures-podologues;Ambert;1;1;0;1;0;0;0;0;0;1;0;0;0;0
SMTI/USLD Centre hospitalier Ambert;rue Anna Roddier 63600 Ambert;04 73 82 73 82;www.ch-ambert.fr;Ambert;0;1;0;0;1;1;0;1;1;1;1;0;0;0
SSR Centre Hospitalier Ambert ;rue Anna Roddier 63600 Ambert;04 73 82 73 82;www.ch-ambert.fr;Ambert;1;0;1;0;0;0;0;0;1;0;0;0;0;0
SSR Centre Hospitalier Ambert ;rue Anna Roddier 63600 Ambert;04 73 82 73 82;www.ch-ambert.fr;Ambert;1;0;0;0;1;0;0;0;1;1;0;0;0;0
SSR Centre Hospitalier Ambert ;rue Anna Roddier 63600 Ambert;04 73 82 73 82;www.ch-ambert.fr;Ambert;0;1;0;0;1;1;0;1;1;1;0;0;0;0
2 bd de l'hÙpital 63+A420:B421001 Aigueperse;3 bd St Roch 63160 Billom;04 73 60 48 40 ;www.hl-billom.fr;Billom;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2 bd de l'hÙpital 63+A420:B421001 Aigueperse;3 bd St Roch 63160 Billom;04 73 60 48 40 ;www.hl-billom.fr;Billom;0;1;0;0;1;1;1;1;1;1;1;1;1;1
Acceuil de jour Beauregard  l'Eveque : RÈsidence gautier ;56 place du Coudert 63116 Beauregard L'EvÍque;04 73 68 02 83;www.ehpad-gautier.com;Billom;0;1;0;1;0;0;1;0;0;0;0;0;0;0
Acceuil de jour Beauregard  l'Eveque : RÈsidence gautier UANP;56 place du Coudert 63116 Beauregard L'Evèque;04 73 68 02 83;www.ehpad-gautier.com;Billom;1;0;0;1;0;1;1;0;1;0;0;0;0;1
Acceuil de nuit : Beauregard l'Eveque ;56 place du Coudert 63116 Beauregard L'Evèque;04 73 68 02 83;;Billom;1;0;0;1;0;1;1;0;0;0;0;0;0;0
Acceuil de nuit : Beauregard l'Eveque ;56 place du Coudert 63116 Beauregard L'Evèque;04 73 68 02 83;;Billom;0;1;0;1;0;0;1;0;0;0;0;0;0;0
Aides ‡ domicile Billom;;;www.pagesjaunes.fr/recherche/billom-63/aide-a-domicile;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile Billom;;;www.pagesjaunes.fr/recherche/billom-63/aide-a-domicile;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Billom;rue Carnot, 63160 Billom;04 73 73 37 67;www.billom.fr/Centre-communal-action-sociale;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Billom;rue Carnot, 63160 Billom;04 73 73 37 67;www.billom.fr/Centre-communal-action-sociale;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD Billom;35 avenue de la gare 63160 Billom;04 73 68 56 04;www.sivosbillom.fr;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD Billom;35 avenue de la gare 63160 Billom;04 73 68 56 04;www.sivosbillom.fr;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD le Montel;3 Rue du Parc, 63450 Saint-Amant-Tallende;04 73 39 30 08;www.ehpadssiadlemontel.fr/PBCPPlayer.asp?ID=1104111;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD le Montel;3 Rue du Parc, 63450 Saint-Amant-Tallende;04 73 39 30 08;www.ehpadssiadlemontel.fr/PBCPPlayer.asp?ID=1104111;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Assistante sociale CCAS Billom;rue Carnot, 63160 Billom;04 73 73 37 67;www.billom.fr/Centre-communal-action-sociale;Billom;1;1;1;0;0;0;0;1;0;0;0;1;1;1
Assistante sociale CCAS Billom;rue Carnot, 63160 Billom;04 73 73 37 67;www.billom.fr/Centre-communal-action-sociale;Billom;1;1;0;1;0;0;0;0;0;0;0;1;1;0
Assistante sociale conseil dÈpartemental ;Conseil dÈpartemental du Puy-de-DÙme 24 rue Saint-Esprit 63033 Clermont-Ferrand Cedex 1;04 73 42 24 60;www.puy-de-dome.fr/social/seniors/vivre-a-domicile.html;Billom;1;1;1;0;0;0;0;1;0;0;0;1;1;1
Assistante sociale conseil dÈpartemental ;Conseil dÈpartemental du Puy-de-DÙme 24 rue Saint-Esprit 63033 Clermont-Ferrand Cedex 1;04 73 42 24 60;www.puy-de-dome.fr/social/seniors/vivre-a-domicile.html;Billom;1;1;0;1;0;0;0;0;0;0;0;1;1;0
AudioprothÈsistes Billom;;;www.pagesjaunes.fr/annuaire/billom-63/audioprothesistes;Billom;1;0;0;1;0;0;0;0;0;0;1;0;0;0
CLIC de Billom;21 rue saint loup 63160 Billom;04 73 60 48 85;www.clic-billom.fr;Billom;1;1;0;1;0;1;1;1;1;1;1;1;1;1
CLIC de Billom;21 rue saint loup 63160 Billom;04 73 60 48 85;www.clic-billom.fr;Billom;1;1;1;0;0;0;0;0;0;0;0;0;1;0
EHPAD Beauregard L'EvÍque  RÈsidence Gautier;56 place du Coudert 63116 Beauregard L'EvÍque;04 73 68 02 83;www.ehpad-gautier.com;Billom;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Beauregard L'EvÍque  RÈsidence Gautier;56 place du Coudert 63116 Beauregard L'EvÍque;04 73 68 02 83;www.ehpad-gautier.com;Billom;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Billom La misÈricorde (USA);4 rue de l'ÈvÍchÈ 63160 Billom;04 73 73 36 00;www.ehpad-lamisericorde.com;Billom;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Billom La misÈricorde (USA);4 rue de l'ÈvÍchÈ 63160 Billom;04 73 73 36 00;www.ehpad-lamisericorde.com;Billom;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD La Roche Blanche Les rives d'Ithaque (USA);9 Chemin de la Prairie, 63670 La Roche-Blanche;04 43 11 03 03;;Billom;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD La Roche Blanche Les rives d'Ithaque (USA);9 Chemin de la Prairie, 63670 La Roche-Blanche;04 43 11 03 03;;Billom;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Les Martres de Veyre : RÈsidence Jolivet (USA);70 Rue de Jolivet, 63730 Les Martres-de-Veyre;04 73 39 23 25;;Billom;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Les Martres de Veyre : RÈsidence Jolivet (USA);70 Rue de Jolivet, 63730 Les Martres-de-Veyre;04 73 39 23 25;;Billom;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Saint Amand Tallende Le Montel (PASA);3 Rue du Parc, 63450 Saint-Amant-Tallende;04 73 39 30 08;www.ehpadssiadlemontel.fr;Billom;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Saint Amand Tallende Le Montel (PASA);3 Rue du Parc, 63450 Saint-Amant-Tallende;04 73 39 30 08;www.ehpadssiadlemontel.fr;Billom;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Saint Jean des OlliËres Villa Saint Jean (USA);Le Bourg 63520 Saint Jean des Ollières;04 73 70 93 86;;Billom;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Saint Jean des OlliËres Villa Saint Jean (USA);Le Bourg 63520 Saint Jean des Ollières;04 73 70 93 86;;Billom;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Veyre Monton Le Cap Veyre (USA);34 Chemin du Chardonnet, 63960 Veyre-Monton;04 63 66 27 38;;Billom;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Veyre Monton Le Cap Veyre (USA);34 Chemin du Chardonnet, 63960 Veyre-Monton;04 63 66 27 38;;Billom;0;1;0;0;1;1;1;1;1;1;1;1;1;1
EHPAD Vic le Comte Bargoin;146 Rue du Ch‚teau, 63270 Vic-le-Comte;04 73 69 00 25;;Billom;1;0;0;0;0;0;0;0;0;0;0;0;0;0
EHPAD Vic le Comte Bargoin;146 Rue du Ch‚teau, 63270 Vic-le-Comte;04 73 69 00 25;;Billom;0;1;0;0;1;1;1;1;1;1;1;1;1;1
ErgothÈrapeuthe Billom;;;www.pagesjaunes.fr/annuaire/billom-63/ergotherapeuthe;Billom;1;1;1;0;0;0;0;0;0;1;0;1;0;0
ErgothÈrapeuthe Billom;;;www.pagesjaunes.fr/annuaire/billom-63/ergotherapeuthe;Billom;1;1;0;1;0;0;0;0;1;1;1;1;0;0
ESA le Montel;3 Rue du Parc, 63450 Saint-Amant-Tallende;04 73 39 30 08;;Billom;1;0;0;1;0;0;1;0;1;0;0;0;0;1
hÈbergement autonomie Beauregard l'Eveques : RÈsidence gautier ;56 place du Coudert 63116 Beauregard L'EvÍque;04 73 68 02 83;www.ehpad-gautier.com;Billom;1;0;0;0;1;1;1;0;1;0;1;1;0;1
hÈbergement autonomie La roche blanche : les rives d'Ithaque ;1 rue de la prairie 63670 La roche blanche;04 43 11 03 03;;Billom;1;0;0;0;1;1;1;0;1;0;1;1;0;1
hÈbergement autonomie Les martres de Veyres : RÈsidence Jolivet;70 Rue de Jolivet, 63730 Les Martres-de-Veyre;04 73 39 23 25;;Billom;1;0;0;0;1;1;1;0;1;0;1;1;0;1
hÈbergement autonomie MARPA Perignat es allier : rÈsidence le bruchet ;26 rue  de la resistance et du 8 mai  63800 PERIGNAT ES ALLIER;04 73 77 38 58;www.marpa.fr;Billom;1;0;0;0;1;1;1;0;1;0;1;1;0;1
hÈbergement autonomie Saint jean des ollieres Villa saint jean;le bourg, 63520 Saint Jean des Ollieres;04 73 70 93 86;;Billom;1;0;0;0;1;1;1;0;1;0;1;1;0;1
hÈbergement autonomie Veyre menton : Le cap Veyre ;34 Chemin du Chardonnet, 63960 Veyre-Monton;04 63 66 27 38;;Billom;1;0;0;0;1;1;1;0;1;0;1;1;0;1
IDE BILLOM;;;www.pagesjaunes.fr/annuaire/billom-63/infirmiers-cabinets-soins-a-domicile;Billom;1;1;0;1;0;0;0;0;1;1;1;0;0;0
KinÈsithÈrapeute Billom;;;www.pagesjaunes.fr/annuaire/billom-63/kinesitherapeuthe;Billom;1;1;0;1;0;0;0;0;1;1;0;0;0;0
KinÈsithÈrapeute Billom;;;www.pagesjaunes.fr/annuaire/billom-63/kinesitherapeuthe;Billom;1;1;1;0;0;0;0;0;0;1;0;0;0;0
MAIA Billom;21 rue saint loup 63160 Billom;04 73 60 48 85;www.clic-billom.fr;Billom;1;0;0;1;0;0;1;1;1;0;0;1;1;1
MAIA Billom;21 rue saint loup 63160 Billom;04 73 60 48 85;www.clic-billom.fr;Billom;0;1;0;1;0;0;1;1;1;1;1;1;1;1
Ophtalmologues Billom;;;;Billom;1;0;1;0;0;0;0;0;0;0;1;0;0;0
Opticien Billom;;;https://www.pagesjaunes.fr/annuaire/billom-63/opticiens;Billom;1;0;0;1;0;0;0;0;0;0;1;0;0;0
Opticien mobile;;06 02 05 87 92;www.auvergneopticmobile.fr;Billom;1;0;0;1;0;0;0;0;0;0;1;0;0;0
ORL Billom;;;https://www.pagesjaunes.fr/annuaire/clermont-ferrand-63/medecins-orl;Billom;1;0;1;0;0;0;0;0;0;0;1;0;0;0
Podologues Billom;;;www.pagesjaunes.fr/annuaire/billom-63/podologues-pedicures-podologues;Billom;1;1;0;1;0;0;0;0;0;1;0;0;0;0
SMTI/USLD Centre hospitalier Billom ;3 bd St Roch 63160 Billom;04 73  60 48 48;www.hl-billom.fr;Billom;0;1;0;0;1;1;0;1;1;1;1;0;0;0
SSR gÈriatrique  Centre hospitalier Billom;3 bd St Roch 63160 Billom;04 73 60 48 40 ;www.hl-billom.fr;Billom;1;0;1;0;0;0;0;0;1;0;0;0;0;0
SSR gÈriatrique  Centre hospitalier Billom;3 bd St Roch 63160 Billom;04 73 60 48 40 ;www.hl-billom.fr;Billom;1;0;0;0;1;0;0;0;1;1;0;0;0;0
SSR gÈriatrique  Centre hospitalier Billom;3 bd St Roch 63160 Billom;04 73 60 48 40 ;www.hl-billom.fr;Billom;0;1;0;0;1;1;0;1;1;1;0;0;0;0
Consultation mÈmoire CEGERM ;Boulevard Etienne ClÈmentel 63200 Riom;04 73 67 86 51;www.ch-Riom.fr/;Clermont;1;1;1;0;0;1;1;1;1;1;1;1;1;1
Consultation mÈmoire Clinique la Chataigneraie;59 Rue de la Ch‚taigneraie, 63110 Beaumont;0 826 88 63 88;www.elsan.care/fr/hopital-prive-chataigneraie;Clermont;1;1;1;0;0;1;1;1;1;1;1;1;1;1
Consultation mÈmoire CMP A;Service de psychiatrie CMP A, 58 rue Montalembert 63000 Clermont-Ferrand;04 73 75 49 79 ;www.chu-clermontferrand.fr/;Clermont;1;1;1;0;0;1;1;1;1;1;1;1;1;1
Consultation mÈmoire neurologues; 58 rue Montalembert 63000 Clermont-Ferrand;04 73 75 11 51 ;www.chu-clermontferrand.fr/;Clermont;1;1;1;0;0;1;1;1;1;1;1;1;1;1
Consultation mÈmoire PSR;105 Avenue de la RÈpublique, 63050 Clermont-Ferrand;0 826 30 44 99;www.psr.groupe-elsan.com/nos-praticiens/;Clermont;1;1;1;0;0;1;1;1;1;1;1;1;1;1
Ergotherapeute association LA VIE ;6 Rue Claussman 63000 Clermont Ferrand;04 73 92 36 44;https://annuaire.action-sociale.org/?c=association-la-vie-630791242&details=caracteristiques;Clermont Ferrand;1;1;1;0;0;0;0;0;0;1;0;1;0;0
Ergotherapeute association LA VIE ;6 Rue Claussman 63000 Clermont Ferrand;04 73 92 36 44;https://annuaire.action-sociale.org/?c=association-la-vie-630791242&details=caracteristiques;Clermont Ferrand;1;1;0;1;0;0;0;0;1;1;1;1;0;0
Accueil de jour Aulnat : Les Chenevies ;5 rue LÈon Maniez 63510 Aulnat;04 73 73 47 30 ;www.ehpad-leschenevis-aulnat.fr;Clermont Ferrand;1;0;0;1;0;1;1;0;1;0;0;0;0;1
Accueil de jour Aulnat: Les Chenevies ;5 rue LÈon Maniez 63510 Aulnat;04 73 73 47 30 ;www.ehpad-leschenevis-aulnat.fr;Clermont Ferrand;0;1;0;1;0;0;1;0;0;0;0;0;0;0
Accueil de jour Ceyrat Le Lys Blanc ;28 rue VercingÈtorix 63122 Ceyrat;04 73 61 54 54;;Clermont Ferrand;1;0;0;1;0;1;1;0;1;0;0;0;0;1
Accueil de jour Ceyrat Le Lys Blanc ;28 rue VercingÈtorix 63122 Ceyrat;04 73 61 54 54;;Clermont Ferrand;0;1;0;1;0;0;1;0;0;0;0;0;0;0
Accueil de jour ChamalËres : Les Savarounes ;1 r du Roc Blanc 63400 Chamalières;04 73 31 76 00 ;www.ehpad-les-savarounes.com;Clermont Ferrand;0;1;0;1;0;0;1;0;0;0;0;0;0;0
