Nom;Adresse;Téléphone;Site web;Zone;Trouble cognitif léger;Trouble cognitif sévère;Bilanter;Orienter - Domicile;Orienter - Structures;Troubles du comportement 3;Pas d'aidant, Epuisement de l'aidant 3;Maltraitance 3;Perte d'autonomie 2;Chute 2;Déficit sensoriel génants|1;Logement inadapté|1;Faibles ressources économiques|1;Isolement familial et géographique|1;Couleurs
Aides à domicile CCAS Le Mont Dore;1 rue cÙte Boissy 63240 Mont Dore;04 73 65 20 00;www.mairie-mont-dore.fr;Le Mont Dore;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Lempdes;3 rue de la réserve 63370 Lempdes;04 73 83 74 70;www.ville-lempdes.fr/seniors/;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Lempdes;3 rue de la réserve 63370 Lempdes;04 73 83 74 70;www.ville-lempdes.fr/seniors/;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Martres de Veyre;Place Alphonse-Quinsat, 63730 Les Martres-de-Veyre;04 73 39 90 75;www.mairie-lesmartresdeveyre.fr/fr/information/65043/ccas;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Martres de Veyre;Place Alphonse-Quinsat, 63730 Les Martres-de-Veyre;04 73 39 90 75;www.mairie-lesmartresdeveyre.fr/fr/information/65043/ccas;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Mont Dore;1 rue cÙte Boissy 63240 Mont Dore;04 73 65 20 00;www.mairie-mont-dore.fr;Le Mont Dore;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Mont Dore;1 rue cÙte Boissy 63240 Mont Dore;04 73 65 20 00;www.mairie-mont-dore.fr;Le Mont Dore;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Nohanent;Mairie, 2 Route de Durtol 63830 Nohanent; 04 73 62 80 21;;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Nohanent;Mairie, 2 Route de Durtol 63830 Nohanent; 04 73 62 80 21;;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Orcet;11 place Henri Romeuf, 63 670 Orcet;04 73 84 73 17;www.orcet.com/fr/information/65367/le-ccas;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Orcet;11 place Henri Romeuf, 63 670 Orcet;04 73 84 73 17;www.orcet.com/fr/information/65367/le-ccas;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Palladuc;Mairie, Le bourg  63550 Palladuc;04 73 94 32 41;www.commune-palladuc.fr;Thiers;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Palladuc;Mairie, Le bourg  63550 Palladuc;04 73 94 32 41;www.commune-palladuc.fr;Thiers;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Perignat sur Allier;3 place Onslow, 63800 Perignat sur allier;04 73 69 52 54;www.perignat-les-sarlieve.fr/fr/ccas.php;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Perignat sur Allier;3 place Onslow, 63800 Perignat sur allier;04 73 69 52 54;www.perignat-les-sarlieve.fr/fr/ccas.php;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Pont du Château;place de l'hotel de ville  63430 Pont du Chateau;04 73 83 73 59;www.pontduchateau.fr/article/action-sociale;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Pont du Château;place de l'hotel de ville  63430 Pont du Chateau;04 73 83 73 59;www.pontduchateau.fr/article/action-sociale;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Pontgibaud;5 rue du frère Genestier, 63230 Pontgibaud;04 73 88 70 42;www.ccpsv.fr/page_id=63;Riom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Pontgibaud;5 rue du frère Genestier, 63230 Pontgibaud;04 73 88 70 42;www.ccpsv.fr/page_id=63;Riom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Puy Guillaume;1 place Jean Jaurès BP 27 63290 Puy Guillaume;04 73 94 70 49;www.puy-guillaume.fr/fr/information/78880/centre-social-maison-roche;Thiers;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Puy Guillaume;1 place Jean Jaurès BP 27 63290 Puy Guillaume;04 73 94 70 49;www.puy-guillaume.fr/fr/information/78880/centre-social-maison-roche;Thiers;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Riom;15 rue du docteur Ducher 63200 Riom;04 73 33 49 00;www.ville-Riom.fr;Riom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Riom;15 rue du docteur Ducher 63200 Riom;04 73 33 49 00;www.ville-Riom.fr;Riom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Romagnat;3 rue des four à Chaux 63540 Romagnat;04 73 62 63 00;www.ville-romagnat.fr/centre_social.aspx;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Romagnat;3 rue des four à Chaux 63540 Romagnat;04 73 62 63 00;www.ville-romagnat.fr/centre_social.aspx;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Royat;46 boulevard Barrieu 63130 Royat;04 73 29 50 83;www.royat.fr/fr/centre-communal-d-action-social-36.php;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Royat;46 boulevard Barrieu 63130 Royat;04 73 29 50 83;www.royat.fr/fr/centre-communal-d-action-social-36.php;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Amand Tallende;Place du Docteur Darteyre, 63450 Saint Amant Tallende;04 73  39 30 20;www.saintamanttallende.fr;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Amand Tallende;Place du Docteur Darteyre, 63450 Saint Amant Tallende;04 73  39 30 20;www.saintamanttallende.fr;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Antheme;Route de Montbrison 63319 Saint Antheme;04 73 95 40 20;www.saint-antheme.fr;Ambert;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Antheme;Route de Montbrison 63319 Saint Antheme;04 73 95 40 20;www.saint-antheme.fr;Ambert;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Diery;Saint Diery haut 63320 Saint Diery;04 73 96 30 09;www.cc-massifdusancy.fr;Issoire;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Diery;Saint Diery haut 63320 Saint Diery;04 73 96 30 09;www.cc-massifdusancy.fr;Issoire;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Eloy les mines;place Michel duval, 63700 Saint Eloy Les Mines;04 73 85 08 24;www.sainteloylesmines.com;Riom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Eloy les mines;place Michel duval, 63700 Saint Eloy Les Mines;04 73 85 08 24;www.sainteloylesmines.com;Riom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Remy sur durolle;13 rue de l'hotel de ville 63550 Saint Remy sur Durolle;04 73 94 30 10;www.saintremysurdurolle.fr/ccas;Thiers;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Remy sur durolle;13 rue de l'hotel de ville 63550 Saint Remy sur Durolle;04 73 94 30 10;www.saintremysurdurolle.fr/ccas;Thiers;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Sandoux;1 place de la mairie 63 450 Saint Sandoux;04 73 39 31 89;www.saint-sandoux.fr;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Sandoux;1 place de la mairie 63 450 Saint Sandoux;04 73 39 31 89;www.saint-sandoux.fr;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Saturnin;Mairie de saint Saturnin, 10 place du 8 mai 63450 Saint Saturnin;04 73 39 30 77;www.saint-saturnin63.fr;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Saturnin;Mairie de saint Saturnin, 10 place du 8 mai 63450 Saint Saturnin;04 73 39 30 77;www.saint-saturnin63.fr;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Sauves d'Auvergne;Le bourg, 63950 Saint Sauves d'Auvergne;04 73 81 00 62 ;www.saint-sauves-auvergne.fr;Le Mont Dore;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Saint Sauves d'Auvergne;Le bourg, 63950 Saint Sauves d'Auvergne;04 73 81 00 62 ;www.saint-sauves-auvergne.fr;Le Mont Dore;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Sayat;rue des mailleries 63530 Sayat;04 73 62 81 23;www.sayat.fr;Riom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Sayat;rue des mailleries 63530 Sayat;04 73 62 81 23;www.sayat.fr;Riom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Thiers;14 rue pasteur 63300 Thiers;04 73 80 69 44;www.ville-thiers.fr/le-ccas.fr;Thiers;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Thiers;14 rue pasteur 63300 Thiers;04 73 80 69 44;www.ville-thiers.fr/le-ccas.fr;Thiers;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Veyre Monton;26 rue Cheix Monton 63960 Veyre Monton;04 73 69 60 31;mairie-veyremonton.fr;Billom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CCAS Veyre Monton;26 rue Cheix Monton 63960 Veyre Monton;04 73 69 60 31;mairie-veyremonton.fr;Billom;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CIAS Ambert;13 boulevard de l'Europe 63600 Ambert;04 73 82 27 63;www.ambertlivradoisforez.fr;Ambert;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CIAS Ambert;13 boulevard de l'Europe 63600 Ambert;04 73 82 27 63;www.ambertlivradoisforez.fr;Ambert;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CIAS de la montagne Thiernoise;Pont de selles,  63250 Celles sur durolle;04 73 51 89 93;www.celles-sur-durolle.fr/ccas/;Thiers;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
Aides à domicile CIAS de la montagne Thiernoise;Pont de selles,  63250 Celles sur durolle;04 73 51 89 93;www.celles-sur-durolle.fr/ccas/;Thiers;0;1;0;1;0;0;1;1;1;1;1;0;0;1;2
Aides à domicile CIAS Pays de Menat;Le mont de Menat, 63560 Menat;04 73 85 52 53;www.menat.fr;Riom;1;0;0;1;0;1;1;1;1;1;1;0;0;1;2
